id,rgb_frame,ir_frame,fire,smoke
16023,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (16023).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (16023).jpg,True,True
37484,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (37484).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (37484).jpg,True,False
6330,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (6330).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (6330).jpg,False,False
2859,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (2859).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (2859).jpg,False,False
33228,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (33228).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (33228).jpg,True,True
52957,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (52957).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (52957).jpg,True,False
23251,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (23251).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (23251).jpg,True,True
49767,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (49767).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (49767).jpg,True,False
49597,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (49597).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (49597).jpg,True,False
8277,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (8277).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (8277).jpg,False,False
748,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (748).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (748).jpg,False,False
32758,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (32758).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (32758).jpg,True,True
14345,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (14345).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (14345).jpg,True,True
3015,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (3015).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (3015).jpg,False,False
6419,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (6419).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (6419).jpg,False,False
28067,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (28067).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (28067).jpg,True,True
26835,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (26835).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (26835).jpg,True,True
9547,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (9547).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (9547).jpg,False,False
45571,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (45571).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (45571).jpg,True,False
14513,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (14513).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (14513).jpg,True,True
31484,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (31484).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (31484).jpg,True,False
52922,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (52922).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (52922).jpg,True,False
48666,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (48666).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (48666).jpg,True,False
22134,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (22134).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (22134).jpg,True,True
11602,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (11602).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (11602).jpg,False,False
18957,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (18957).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (18957).jpg,True,True
14623,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (14623).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (14623).jpg,True,True
36791,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (36791).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (36791).jpg,True,False
33555,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (33555).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (33555).jpg,True,True
6572,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (6572).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (6572).jpg,False,False
52994,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (52994).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (52994).jpg,True,False
42671,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (42671).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (42671).jpg,True,True
48165,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (48165).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (48165).jpg,True,False
25059,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (25059).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (25059).jpg,True,True
38818,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (38818).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (38818).jpg,True,False
41785,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (41785).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (41785).jpg,True,True
2528,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (2528).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (2528).jpg,False,False
44089,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (44089).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (44089).jpg,True,True
10710,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (10710).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (10710).jpg,False,False
29997,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (29997).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (29997).jpg,True,True
35213,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (35213).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (35213).jpg,True,True
9061,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (9061).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (9061).jpg,False,False
46821,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (46821).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (46821).jpg,True,False
30497,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (30497).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (30497).jpg,True,True
44212,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (44212).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (44212).jpg,True,True
2151,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (2151).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (2151).jpg,False,False
34768,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (34768).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (34768).jpg,True,True
47021,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (47021).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (47021).jpg,True,False
47863,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (47863).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (47863).jpg,True,False
15216,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (15216).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (15216).jpg,True,False
41764,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (41764).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (41764).jpg,True,True
4193,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (4193).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (4193).jpg,False,False
8258,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (8258).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (8258).jpg,False,False
19010,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (19010).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (19010).jpg,True,True
3548,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (3548).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (3548).jpg,False,False
32630,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (32630).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (32630).jpg,True,True
2689,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (2689).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (2689).jpg,False,False
20381,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (20381).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (20381).jpg,True,True
9764,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (9764).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (9764).jpg,False,False
47749,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (47749).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (47749).jpg,True,False
10857,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (10857).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (10857).jpg,False,False
16157,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (16157).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (16157).jpg,True,True
21508,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (21508).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (21508).jpg,True,True
15730,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (15730).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (15730).jpg,True,False
38217,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (38217).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (38217).jpg,True,False
39231,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (39231).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (39231).jpg,True,False
53424,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (53424).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (53424).jpg,True,False
44061,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (44061).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (44061).jpg,True,True
26068,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (26068).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (26068).jpg,True,True
21562,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (21562).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (21562).jpg,True,True
21306,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (21306).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (21306).jpg,True,True
40105,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (40105).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (40105).jpg,True,False
6835,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (6835).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (6835).jpg,False,False
47289,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (47289).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (47289).jpg,True,False
37186,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (37186).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (37186).jpg,True,False
47976,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (47976).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (47976).jpg,True,False
2849,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (2849).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (2849).jpg,False,False
50382,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (50382).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (50382).jpg,True,False
43724,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (43724).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (43724).jpg,True,True
25052,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (25052).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (25052).jpg,True,True
49992,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (49992).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (49992).jpg,True,False
21272,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (21272).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (21272).jpg,True,True
1483,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (1483).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (1483).jpg,False,False
3380,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (3380).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (3380).jpg,False,False
32387,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (32387).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (32387).jpg,True,True
3222,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (3222).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (3222).jpg,False,False
49591,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (49591).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (49591).jpg,True,False
543,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (543).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (543).jpg,False,False
39541,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (39541).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (39541).jpg,True,False
51170,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (51170).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (51170).jpg,True,False
17534,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (17534).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (17534).jpg,True,True
39934,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (39934).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (39934).jpg,True,False
27250,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (27250).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (27250).jpg,True,False
44550,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (44550).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (44550).jpg,True,True
47457,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (47457).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (47457).jpg,True,False
34387,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (34387).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (34387).jpg,True,True
26214,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (26214).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (26214).jpg,True,True
45741,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (45741).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (45741).jpg,True,False
11213,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (11213).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (11213).jpg,False,False
27749,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (27749).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (27749).jpg,True,True
40604,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (40604).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (40604).jpg,True,False
51005,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (51005).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (51005).jpg,True,False
38502,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (38502).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (38502).jpg,True,False
26737,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (26737).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (26737).jpg,True,True
12996,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (12996).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (12996).jpg,False,False
21128,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (21128).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (21128).jpg,True,True
7482,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (7482).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (7482).jpg,False,False
20204,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (20204).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (20204).jpg,True,True
15326,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (15326).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (15326).jpg,True,False
36077,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (36077).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (36077).jpg,True,True
10335,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (10335).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (10335).jpg,False,False
10946,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (10946).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (10946).jpg,False,False
21605,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (21605).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (21605).jpg,True,True
31267,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (31267).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (31267).jpg,True,True
42644,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (42644).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (42644).jpg,True,True
44265,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (44265).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (44265).jpg,True,True
41590,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (41590).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (41590).jpg,True,False
17431,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (17431).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (17431).jpg,True,True
29022,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (29022).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (29022).jpg,True,True
26890,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (26890).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (26890).jpg,True,True
10833,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (10833).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (10833).jpg,False,False
27624,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (27624).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (27624).jpg,True,True
31861,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (31861).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (31861).jpg,True,True
11884,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (11884).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (11884).jpg,False,False
24028,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (24028).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (24028).jpg,True,True
53115,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (53115).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (53115).jpg,True,False
29077,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (29077).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (29077).jpg,True,True
34998,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (34998).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (34998).jpg,True,True
609,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (609).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (609).jpg,False,False
12391,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (12391).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (12391).jpg,False,False
46468,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (46468).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (46468).jpg,True,False
26618,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (26618).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (26618).jpg,True,True
29144,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (29144).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (29144).jpg,True,True
13227,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (13227).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (13227).jpg,False,False
41558,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (41558).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (41558).jpg,True,False
27337,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (27337).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (27337).jpg,True,False
39929,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (39929).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (39929).jpg,True,False
46911,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (46911).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (46911).jpg,True,False
38614,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (38614).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (38614).jpg,True,False
64,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (64).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (64).jpg,False,False
16249,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (16249).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (16249).jpg,True,True
47596,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (47596).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (47596).jpg,True,False
23415,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (23415).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (23415).jpg,True,True
1087,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (1087).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (1087).jpg,False,False
50885,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (50885).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (50885).jpg,True,False
39874,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (39874).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (39874).jpg,True,False
4833,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (4833).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (4833).jpg,False,False
27170,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (27170).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (27170).jpg,True,True
7982,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (7982).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (7982).jpg,False,False
35808,../datasets/contrast-stretched/254p RGB Images/254p RGB Frame (35808).jpg,../datasets/contrast-stretched/254p Thermal Images/254p Thermal Frame (35808).jpg,True,True
